,0
324,9
325,13
326,1
327,10
328,7
329,14
330,13
331,5
332,16
333,11
334,6
335,4
336,13
337,5
338,10
339,5
340,6
341,6
342,9
343,11
344,5
345,2
346,3
347,12
348,11
349,11
350,3
351,3
352,14
353,15
354,13
355,15
356,10
357,6
358,7
359,15
360,15
361,15
362,5
363,13
364,7
365,13
366,15
367,11
368,11
369,8
370,4
371,3
372,1
373,10
374,12
375,2
376,10
377,14
378,7
379,1
380,14
381,13
382,15
383,3
384,10
385,11
386,13
387,16
388,6
389,5
390,16
391,6
392,15
393,5
394,2
395,4
396,16
397,13
398,2
399,9
400,12
401,7
402,6
403,5
404,10
405,11
406,9
407,12
408,12
409,3
410,1
411,8
412,14
413,5
414,1
415,11
416,11
417,6
418,11
419,3
420,7
421,5
422,9
423,12
424,7
425,6
426,12
427,6
428,13
429,15
430,6
431,6
432,1
433,10
434,5
435,10
436,7
437,11
438,15
439,5
440,7
441,8
442,8
443,11
444,8
445,7
446,9
447,9
448,9
449,11
450,6
451,13
452,3
453,15
454,2
455,10
456,5
457,5
458,12
459,3
460,2
461,2
462,5
463,5
464,9
465,5
466,10
467,15
468,13
469,5
470,12
471,4
472,10
473,9
474,12
475,3
476,7
477,13
478,6
479,14
480,7
481,7
482,7
483,2
484,11
485,10
486,11
487,9
488,1
489,16
490,12
491,11
492,13
493,5
494,4
495,10
496,3
497,11
498,4
499,11
500,10
501,16
502,7
503,16
504,7
505,2
506,8
507,8
508,3
509,12
510,15
511,15
512,10
513,10
514,3
515,8
516,5
517,6
518,10
519,14
520,14
521,9
522,16
523,13
524,15
525,12
526,12
527,7
528,11
529,11
530,10
531,6
532,6
533,5
534,16
535,9
536,1
537,11
538,1
539,16
540,12
541,14
542,5
543,6
544,16
545,6
546,5
547,13
548,5
549,15
550,15
551,6
552,14
553,13
554,16
555,7
556,2
557,3
558,10
559,11
560,9
561,3
562,9
563,5
564,9
565,8
566,16
567,16
568,7
569,9
570,7
571,15
572,2
573,11
574,9
575,15
576,11
577,3
578,12
579,12
580,9
581,6
582,14
583,5
584,14
585,1
586,12
587,5
588,2
589,12
590,9
591,4
592,14
593,6
594,3
595,4
596,3
597,15
598,6
599,14
600,11
601,7
602,6
603,12
604,3
605,10
606,4
607,4
608,13
609,6
610,9
611,2
612,9
613,13
614,6
615,3
616,4
617,12
618,14
619,5
620,13
621,7
622,12
623,3
624,1
625,10
626,5
627,6
628,1
629,15
630,15
631,14
632,4
633,12
634,10
635,15
636,6
637,5
638,7
639,15
640,7
641,8
642,14
643,2
644,13
645,7
646,14
647,6
648,5
649,9
650,2
651,5
652,8
653,8
654,3
655,2
656,5
657,13
658,7
659,7
660,8
661,10
662,7
663,16
664,5
665,14
666,11
667,3
668,6
669,3
670,5
671,13
672,5
673,6
674,6
675,10
676,8
677,14
678,7
679,16
680,3
681,4
682,9
683,15
684,6
685,11
686,6
687,14
688,9
689,12
690,6
691,2
692,12
693,8
694,1
695,15
696,2
697,12
698,2
699,1
700,6
701,6
702,6
703,1
704,12
705,12
706,1
707,7
708,6
709,15
710,6
711,3
712,15
713,10
714,8
715,16
716,7
717,12
718,6
719,14
720,9
721,16
722,9
723,14
724,13
725,14
726,2
727,12
728,2
729,2
730,4
731,8
732,12
733,8
734,10
735,1
736,16
737,12
738,2
739,4
740,13
741,13
742,3
743,4
744,7
745,8
746,5
747,5
748,11
749,12
750,7
751,6
752,3
753,4
754,5
755,11
756,6
757,5
758,3
759,3
760,7
761,16
762,5
763,13
764,11
765,3
766,16
767,4
768,6
769,4
770,11
771,10
772,6
773,10
774,14
775,6
776,6
777,1
778,7
779,6
780,8
781,16
782,4
783,3
784,12
785,16
786,5
787,9
788,10
789,10
790,14
791,8
792,3
793,4
794,3
795,3
796,10
797,7
798,3
799,7
800,8
801,10
802,6
803,15
804,16
805,9
806,12
807,6
808,4
809,10
810,5
811,6
812,6
813,1
814,10
815,12
816,3
817,16
818,4
819,2
820,6
821,13
822,2
823,4
824,3
825,7
826,8
827,4
828,11
829,10
830,7
831,14
832,11
833,14
834,11
835,15
836,16
837,15
838,16
839,14
840,8
841,15
842,9
843,12
844,13
845,15
846,5
847,6
848,14
849,14
850,8
851,6
852,10
853,11
854,13
855,13
856,13
857,16
858,5
859,1
860,15
861,7
862,7
863,7
864,8
865,13
866,2
867,8
868,4
869,16
870,1
871,10
872,1
873,4
874,5
875,13
876,5
877,15
878,6
879,5
880,6
881,2
882,8
883,2
884,10
885,14
886,4
887,12
888,1
889,4
890,7
891,13
892,15
893,9
894,5
895,6
896,15
897,9
898,10
899,16
900,5
901,5
902,1
903,10
904,5
905,13
906,16
907,16
908,11
909,3
910,2
911,16
912,11
913,16
914,7
915,13
916,7
917,6
918,3
919,10
920,5
921,10
922,11
923,4
924,4
925,2
926,16
927,13
928,8
929,10
930,5
931,13
932,6
933,16
934,12
935,12
936,14
937,5
938,14
939,14
940,14
941,14
942,16
943,16
944,12
945,8
946,6
947,13
948,3
949,2
950,6
951,14
952,3
953,9
954,6
955,14
956,4
957,10
958,11
959,10
960,12
961,4
962,6
963,6
964,11
965,6
966,11
967,3
968,6
969,15
970,6
971,2
972,14
973,5
974,10
975,1
976,4
977,12
978,13
979,14
980,15
981,6
982,12
983,12
984,4
985,2
986,13
987,13
988,11
989,9
990,11
991,15
992,13
993,5
994,14
995,5
996,9
997,16
998,13
999,8
1000,10
1001,15
1002,1
1003,15
1004,7
1005,10
1006,12
1007,13
1008,4
1009,3
1010,6
1011,10
1012,12
1013,2
1014,6
1015,13
1016,5
1017,7
1018,14
1019,6
1020,13
1021,15
1022,1
1023,8
1024,5
1025,7
1026,7
1027,12
1028,4
1029,11
1030,7
1031,15
1032,13
1033,13
1034,13
1035,14
1036,10
1037,3
1038,13
1039,2
1040,12
1041,4
1042,4
1043,12
1044,7
1045,12
1046,7
1047,1
1048,6
1049,8
1050,10
1051,7
1052,4
1053,10
1054,2
1055,15
1056,7
1057,15
1058,4
1059,4
1060,15
1061,7
1062,4
1063,2
1064,14
1065,9
1066,7
1067,6
1068,14
1069,5
1070,3
1071,4
1072,11
1073,15
1074,11
1075,7
1076,11
1077,2
1078,12
1079,15
1080,11
1081,9
1082,7
1083,7
1084,13
1085,14
1086,16
1087,2
1088,2
1089,13
1090,15
1091,7
1092,8
1093,16
1094,5
1095,5
1096,15
1097,5
1098,7
1099,5
1100,12
1101,16
1102,2
1103,11
1104,8
1105,5
1106,12
1107,5
1108,1
1109,8
1110,7
1111,10
1112,16
1113,6
1114,6
1115,6
1116,13
1117,16
1118,6
1119,5
1120,5
1121,15
1122,13
1123,15
1124,15
1125,16
1126,7
1127,8
1128,4
1129,7
1130,6
1131,5
1132,12
1133,4
1134,14
1135,1
1136,9
1137,6
1138,6
1139,10
1140,2
1141,6
1142,14
1143,13
1144,13
1145,9
1146,14
1147,16
1148,13
1149,6
1150,3
1151,3
1152,15
1153,1
1154,10
1155,2
1156,1
1157,10
1158,5
1159,14
1160,9
1161,8
1162,10
1163,15
1164,10
1165,10
1166,11
1167,11
1168,6
1169,8
1170,15
1171,7
1172,7
1173,3
1174,14
1175,14
1176,15
1177,11
1178,7
1179,10
1180,9
1181,9
1182,13
1183,12
1184,11
1185,3
1186,6
1187,9
1188,10
1189,5
1190,2
1191,5
1192,3
1193,7
1194,15
1195,14
1196,8
1197,12
1198,8
1199,10
1200,7
1201,6
1202,6
1203,16
1204,12
1205,2
1206,11
1207,12
1208,7
1209,5
1210,6
1211,15
1212,14
1213,11
1214,7
1215,10
1216,8
1217,2
1218,2
1219,1
1220,4
1221,12
1222,13
1223,9
1224,7
1225,5
1226,6
1227,14
1228,6
1229,5
1230,5
1231,7
1232,14
1233,13
1234,16
1235,9
1236,5
1237,14
1238,12
1239,2
1240,6
1241,6
1242,14
1243,9
1244,12
1245,8
1246,3
1247,10
1248,14
1249,6
1250,10
1251,13
1252,10
1253,9
1254,13
1255,5
1256,1
1257,8
1258,6
1259,6
1260,16
1261,10
1262,3
1263,4
1264,3
1265,4
1266,5
1267,15
1268,16
1269,10
1270,3
1271,12
1272,12
1273,14
1274,13
1275,6
1276,14
1277,14
1278,6
1279,5
1280,7
1281,16
1282,5
1283,10
1284,10
1285,14
1286,14
1287,6
1288,7
1289,15
1290,7
1291,11
1292,13
1293,9
1294,9
1295,9
1296,9
1297,16
1298,10
1299,8
1300,2
1301,9
1302,5
1303,7
1304,4
1305,8
1306,16
1307,4
1308,9
1309,11
1310,11
1311,14
1312,16
1313,7
1314,7
1315,7
1316,5
1317,10
1318,8
1319,10
1320,6
1321,4
1322,4
1323,8
1324,3
1325,10
1326,12
1327,10
1328,2
1329,16
1330,15
1331,5
1332,5
1333,13
1334,1
1335,4
1336,4
1337,12
1338,8
1339,1
1340,1
1341,9
1342,8
1343,8
1344,7
1345,13
1346,13
1347,14
1348,11
1349,1
1350,9
1351,7
1352,4
1353,11
1354,15
1355,11
1356,15
1357,7
1358,7
1359,13
1360,11
1361,3
1362,15
1363,11
1364,15
1365,16
1366,6
1367,13
1368,10
1369,7
1370,3
1371,3
1372,6
1373,8
1374,14
1375,14
1376,6
1377,6
1378,15
1379,9
1380,6
1381,6
1382,2
1383,6
1384,10
1385,15
1386,7
1387,5
1388,16
1389,12
1390,12
1391,14
1392,13
1393,1
1394,14
1395,5
1396,11
1397,4
1398,12
1399,10
1400,6
1401,2
1402,14
1403,5
1404,7
1405,4
1406,2
1407,6
1408,6
1409,2
1410,6
1411,13
1412,3
1413,16
1414,8
1415,16
1416,11
1417,12
1418,13
1419,8
1420,9
1421,2
1422,14
1423,6
1424,12
1425,2
1426,6
1427,15
1428,16
1429,7
1430,1
1431,2
1432,15
1433,11
1434,4
1435,7
1436,9
1437,13
1438,16
1439,9
1440,14
1441,8
1442,3
1443,11
1444,15
1445,10
1446,7
1447,1
1448,16
1449,11
1450,11
1451,12
1452,3
1453,7
1454,9
1455,14
1456,7
1457,2
1458,11
1459,3
1460,6
1461,5
1462,10
1463,15
1464,1
1465,5
1466,11
1467,14
1468,3
1469,15
1470,13
1471,5
1472,10
1473,4
1474,4
1475,12
1476,3
1477,7
1478,9
1479,1
1480,11
1481,7
1482,11
1483,10
1484,15
1485,13
1486,16
1487,5
1488,14
1489,7
1490,8
1491,5
1492,9
1493,9
1494,6
1495,9
1496,10
1497,2
1498,3
1499,10
1500,13
1501,13
1502,3
1503,3
1504,3
1505,7
1506,3
1507,4
1508,14
1509,2
1510,11
1511,5
1512,12
1513,2
1514,3
1515,4
1516,4
1517,8
1518,13
1519,6
1520,14
1521,13
1522,16
1523,3
1524,10
1525,13
1526,14
1527,8
1528,12
1529,10
1530,8
1531,10
1532,1
1533,6
1534,9
1535,5
1536,1
1537,1
1538,13
1539,10
1540,8
1541,8
1542,3
1543,15
1544,4
1545,10
1546,1
1547,14
1548,13
1549,5
1550,11
1551,16
1552,6
1553,9
1554,10
1555,7
1556,1
1557,7
1558,5
1559,8
1560,14
1561,9
1562,7
1563,7
1564,4
1565,12
1566,10
1567,14
1568,16
1569,5
1570,4
1571,12
1572,13
1573,14
1574,11
1575,11
1576,5
1577,10
1578,7
1579,5
1580,1
1581,10
1582,11
1583,16
1584,9
1585,14
1586,15
1587,14
1588,6
1589,11
1590,15
1591,13
1592,2
1593,14
1594,6
1595,9
1596,15
1597,11
1598,4
1599,3
1600,3
1601,2
1602,9
1603,11
1604,5
1605,6
1606,8
1607,8
1608,15
1609,5
1610,6
1611,12
1612,6
1613,6
1614,2
1615,12
1616,13
1617,9
1618,6
1619,6
1620,8
1621,10
1622,3
1623,12
1624,11
1625,2
1626,5
1627,14
1628,14
1629,6
1630,6
1631,6
1632,10
1633,11
1634,14
1635,7
1636,2
1637,7
1638,15
1639,11
1640,7
1641,13
1642,10
1643,2
1644,16
1645,8
1646,10
1647,12
1648,6
1649,6
1650,8
1651,2
1652,3
1653,14
1654,11
1655,11
1656,12
1657,10
1658,10
1659,14
1660,6
1661,5
1662,7
1663,11
1664,4
1665,3
1666,9
1667,2
1668,8
1669,2
1670,13
1671,9
1672,15
1673,7
1674,12
1675,4
1676,10
1677,9
1678,9
1679,6
1680,2
1681,3
1682,12
1683,3
1684,15
1685,8
1686,16
1687,4
1688,11
1689,16
1690,6
1691,12
1692,9
1693,9
1694,3
1695,4
1696,7
1697,11
1698,11
1699,9
1700,12
1701,11
1702,12
1703,15
1704,12
1705,4
1706,6
1707,6
1708,11
1709,7
1710,4
1711,12
1712,4
1713,9
1714,12
1715,4
1716,10
1717,10
1718,3
1719,9
1720,4
1721,7
1722,15
1723,2
1724,5
1725,10
1726,5
1727,7
1728,2
1729,2
1730,13
1731,7
1732,6
1733,11
1734,7
1735,6
1736,11
1737,12
1738,1
1739,8
1740,3
1741,11
1742,15
1743,6
1744,9
1745,13
1746,13
1747,11
1748,10
1749,10
1750,11
1751,7
1752,13
1753,16
1754,9
1755,13
1756,5
1757,13
1758,13
1759,14
1760,2
1761,3
1762,3
1763,4
1764,10
1765,11
1766,2
1767,6
1768,8
1769,8
1770,1
1771,15
1772,2
1773,7
1774,9
1775,5
1776,15
1777,9
1778,8
1779,3
1780,7
1781,12
1782,12
1783,2
1784,4
1785,14
1786,11
1787,12
1788,2
1789,10
1790,11
1791,9
1792,6
1793,6
1794,11
1795,13
1796,7
1797,7
1798,16
1799,4
1800,11
1801,7
1802,4
1803,4
1804,12
1805,11
1806,4
1807,11
1808,13
1809,13
1810,2
1811,15
1812,6
1813,6
1814,5
1815,13
1816,8
1817,3
1818,7
1819,11
1820,13
1821,13
1822,7
1823,16
1824,8
1825,12
1826,4
1827,3
1828,4
1829,11
1830,3
1831,8
1832,8
1833,12
1834,12
1835,8
1836,10
1837,2
1838,9
1839,13
1840,2
1841,1
1842,14
1843,9
1844,16
1845,15
1846,12
1847,10
1848,2
1849,6
1850,6
1851,14
1852,7
1853,1
1854,15
1855,3
1856,10
1857,7
1858,7
1859,14
1860,8
1861,3
1862,7
1863,1
1864,13
1865,13
1866,7
1867,6
1868,1
1869,7
1870,9
1871,6
1872,9
1873,6
1874,8
1875,12
1876,15
1877,2
1878,14
1879,9
1880,11
1881,5
1882,10
1883,9
1884,6
1885,7
1886,1
1887,2
1888,14
1889,13
1890,7
1891,10
1892,11
1893,10
1894,2
1895,8
1896,10
1897,11
1898,5
1899,5
1900,1
1901,7
1902,1
1903,16
1904,12
1905,8
1906,8
1907,12
1908,13
1909,9
1910,11
1911,11
1912,6
1913,12
1914,13
1915,15
1916,5
1917,6
1918,11
1919,7
1920,3
1921,11
1922,6
1923,7
1924,6
1925,2
1926,8
1927,8
1928,9
1929,8
1930,13
1931,9
1932,10
1933,3
1934,8
1935,5
1936,13
1937,16
1938,12
1939,15
1940,16
1941,11
1942,7
1943,15
1944,12
1945,8
1946,10
1947,4
1948,7
1949,5
1950,6
1951,6
1952,6
1953,16
1954,4
1955,8
1956,13
1957,7
1958,14
1959,6
1960,12
1961,11
1962,6
1963,6
1964,15
1965,8
1966,3
1967,10
1968,6
1969,5
1970,9
1971,4
1972,16
1973,12
1974,13
1975,10
1976,9
1977,9
1978,1
1979,2
1980,11
1981,3
1982,10
1983,14
1984,5
1985,5
1986,11
1987,15
1988,3
1989,4
1990,8
1991,6
1992,10
1993,3
1994,5
1995,6
1996,11
1997,7
1998,15
1999,2
2000,14
2001,9
2002,8
2003,10
2004,11
2005,10
2006,14
2007,6
2008,12
2009,8
2010,12
2011,4
2012,13
2013,7
2014,5
2015,8
2016,8
2017,6
2018,3
2019,8
2020,6
2021,15
2022,13
2023,14
2024,11
2025,4
2026,6
2027,9
2028,15
2029,11
2030,11
2031,12
2032,15
2033,14
2034,7
2035,13
2036,8
2037,3
2038,6
2039,6
2040,7
2041,9
2042,3
2043,12
2044,5
2045,5
2046,8
2047,3
2048,2
2049,9
2050,5
2051,14
2052,16
2053,3
2054,3
2055,1
2056,2
2057,15
2058,7
2059,12
2060,11
2061,15
2062,14
2063,13
2064,3
2065,11
2066,2
2067,16
2068,1
2069,3
2070,5
2071,8
2072,8
2073,9
2074,7
2075,8
2076,11
2077,12
2078,11
2079,11
2080,5
2081,10
2082,12
2083,12
2084,13
2085,9
2086,8
2087,14
2088,14
2089,13
2090,7
2091,10
2092,11
2093,15
2094,11
2095,9
2096,10
2097,3
2098,3
2099,9
2100,9
2101,10
2102,15
2103,5
2104,5
2105,6
2106,10
2107,12
2108,8
2109,12
2110,5
2111,11
2112,11
2113,12
2114,5
2115,1
2116,8
2117,12
2118,2
2119,11
2120,5
2121,16
2122,13
2123,6
2124,8
2125,6
2126,13
2127,14
2128,7
2129,14
2130,1
2131,10
2132,6
2133,2
2134,4
2135,10
2136,12
2137,11
2138,11
2139,5
2140,14
2141,7
2142,16
2143,12
2144,2
2145,6
2146,3
2147,6
2148,8
2149,8
2150,14
2151,11
2152,7
2153,3
2154,2
2155,10
2156,8
2157,4
2158,4
2159,7
2160,13
2161,6
2162,4
2163,3
2164,14
2165,6
2166,2
2167,16
2168,16
2169,7
2170,13
2171,6
2172,16
2173,9
2174,3
2175,3
2176,11
2177,2
2178,8
2179,14
2180,6
2181,8
2182,6
2183,15
2184,11
2185,1
2186,7
2187,5
2188,16
2189,16
2190,2
2191,15
2192,14
2193,3
2194,14
2195,16
2196,5
2197,10
2198,3
2199,1
2200,11
2201,3
2202,5
2203,14
2204,11
2205,10
2206,11
2207,9
2208,14
2209,7
2210,12
2211,11
2212,5
2213,8
2214,6
2215,7
2216,8
2217,4
2218,16
2219,10
2220,7
2221,6
2222,10
2223,10
2224,15
2225,12
2226,10
2227,3
2228,11
2229,10
2230,9
2231,14
2232,2
2233,1
2234,13
2235,5
2236,6
2237,7
2238,4
2239,3
2240,6
2241,6
2242,5
2243,9
2244,12
2245,11
2246,3
2247,12
2248,8
2249,14
2250,3
2251,11
2252,10
2253,5
2254,10
2255,1
2256,12
2257,3
2258,11
2259,9
2260,5
2261,4
2262,11
2263,12
2264,9
2265,10
2266,2
2267,9
2268,11
2269,1
2270,6
2271,2
2272,7
2273,12
2274,8
2275,8
2276,10
2277,11
2278,15
2279,7
2280,10
2281,6
2282,3
2283,8
2284,1
2285,15
2286,6
2287,15
2288,13
2289,1
2290,9
2291,16
2292,16
2293,10
2294,7
2295,6
2296,4
2297,10
2298,12
2299,11
2300,6
2301,5
2302,10
2303,2
2304,6
2305,13
2306,15
2307,5
2308,14
2309,11
2310,14
2311,16
2312,7
2313,7
2314,2
2315,1
2316,2
2317,3
2318,10
2319,13
2320,2
2321,8
2322,1
2323,3
2324,14
2325,6
2326,9
2327,15
2328,2
2329,11
2330,10
2331,10
2332,6
2333,3
2334,5
2335,9
2336,1
2337,7
2338,11
2339,12
2340,11
2341,2
2342,11
2343,7
2344,11
2345,4
2346,8
2347,14
2348,4
2349,3
2350,4
2351,11
2352,4
2353,12
2354,2
2355,2
2356,8
2357,4
2358,6
2359,6
2360,12
2361,4
2362,3
2363,3
2364,12
2365,9
2366,2
2367,11
2368,15
2369,15
2370,7
2371,14
2372,10
2373,7
2374,7
2375,11
2376,6
2377,10
2378,3
2379,11
2380,9
2381,12
2382,14
2383,13
2384,3
2385,11
2386,6
2387,6
2388,16
2389,4
2390,8
2391,13
2392,11
2393,12
2394,5
2395,3
2396,9
2397,15
2398,1
2399,10
2400,8
2401,16
2402,6
2403,12
2404,5
2405,14
2406,14
2407,9
2408,14
2409,6
2410,7
2411,4
2412,11
2413,11
2414,14
2415,14
2416,3
2417,15
2418,11
2419,2
2420,11
2421,11
2422,10
2423,16
2424,3
2425,8
2426,11
2427,4
2428,13
2429,6
2430,16
2431,16
2432,5
2433,16
2434,12
2435,12
2436,5
2437,16
2438,2
2439,4
2440,10
2441,7
2442,14
2443,6
2444,8
2445,6
2446,12
2447,9
2448,7
2449,9
2450,1
2451,14
2452,10
2453,8
2454,11
2455,11
2456,11
2457,15
2458,11
2459,11
2460,15
2461,7
2462,7
2463,13
2464,5
2465,13
2466,5
2467,1
2468,15
2469,11
2470,9
2471,9
2472,11
2473,10
2474,5
2475,2
2476,5
2477,14
2478,1
2479,16
2480,1
2481,11
2482,10
2483,6
2484,11
2485,11
2486,13
2487,15
2488,3
2489,4
2490,10
2491,3
2492,6
2493,1
2494,2
2495,14
2496,14
2497,13
2498,6
2499,15
2500,9
2501,16
2502,5
2503,2
2504,3
2505,6
2506,14
2507,5
2508,10
2509,9
2510,3
2511,11
2512,16
2513,11
2514,5
2515,5
2516,4
2517,3
2518,9
2519,11
2520,14
2521,7
2522,15
2523,16
2524,5
2525,13
2526,14
2527,7
2528,3
2529,12
2530,10
2531,2
2532,6
2533,9
2534,7
2535,3
2536,3
2537,12
2538,9
2539,12
2540,1
2541,14
2542,12
2543,3
2544,13
2545,11
2546,15
2547,6
2548,4
2549,10
2550,4
2551,7
2552,6
2553,14
2554,7
2555,1
2556,5
2557,14
2558,1
2559,13
2560,6
2561,15
2562,12
2563,14
2564,16
2565,13
2566,6
2567,2
2568,5
2569,14
2570,3
2571,14
2572,13
2573,5
2574,11
2575,11
2576,13
2577,13
2578,1
2579,10
2580,4
2581,2
2582,13
2583,13
2584,13
2585,15
2586,5
2587,11
2588,3
2589,1
2590,9
2591,1
2592,10
2593,3
2594,2
2595,3
2596,1
2597,12
2598,6
2599,8
2600,10
2601,6
2602,15
2603,16
2604,14
2605,13
2606,11
2607,11
2608,7
2609,15
2610,1
2611,16
2612,13
2613,9
2614,9
2615,11
2616,12
2617,4
2618,10
2619,5
2620,7
2621,10
2622,2
2623,10
2624,2
2625,4
2626,6
2627,14
2628,2
2629,16
2630,13
2631,14
2632,12
2633,11
2634,10
2635,7
2636,14
2637,13
2638,15
2639,11
2640,7
2641,6
2642,13
2643,14
2644,2
2645,2
2646,5
2647,12
2648,6
2649,5
2650,11
2651,2
2652,12
2653,3
2654,14
2655,11
2656,2
2657,5
2658,9
2659,5
2660,1
2661,10
2662,9
2663,11
2664,1
2665,11
2666,10
2667,9
2668,8
2669,9
2670,8
2671,6
2672,1
2673,11
2674,14
2675,14
2676,5
2677,13
2678,12
2679,15
2680,11
2681,9
2682,10
2683,2
2684,7
2685,10
2686,7
2687,1
2688,11
2689,11
2690,4
2691,7
2692,3
2693,10
2694,11
2695,11
2696,11
2697,11
2698,9
2699,7
2700,5
2701,13
2702,15
2703,11
2704,12
2705,14
2706,15
2707,5
2708,14
2709,16
2710,15
2711,7
2712,7
2713,15
2714,10
2715,9
2716,1
2717,10
2718,5
2719,13
2720,14
2721,7
2722,12
2723,8
2724,14
2725,11
2726,11
2727,11
2728,3
2729,8
2730,7
2731,16
2732,12
2733,9
2734,16
2735,10
2736,1
2737,10
2738,6
2739,9
2740,15
2741,5
2742,2
2743,6
2744,2
2745,16
2746,16
2747,6
2748,4
2749,4
2750,12
2751,16
2752,9
2753,14
2754,7
2755,11
2756,4
2757,2
2758,7
2759,11
2760,8
2761,11
2762,15
2763,8
2764,3
2765,4
2766,12
2767,1
2768,10
2769,6
2770,11
2771,15
2772,10
2773,8
2774,11
2775,10
2776,3
2777,7
2778,8
2779,3
2780,12
2781,3
2782,6
2783,6
2784,12
2785,11
2786,6
2787,7
2788,14
2789,6
2790,7
2791,10
2792,14
2793,7
2794,2
2795,15
2796,3
2797,16
2798,6
2799,7
2800,15
2801,10
2802,13
2803,13
2804,16
2805,7
2806,13
2807,5
2808,9
2809,5
2810,5
2811,15
2812,4
2813,11
2814,16
2815,5
2816,15
2817,13
2818,7
2819,13
2820,5
2821,16
2822,8
2823,8
2824,7
2825,3
2826,11
2827,7
2828,9
2829,3
2830,4
2831,11
2832,15
2833,2
2834,2
2835,2
2836,5
2837,9
2838,12
2839,1
2840,16
2841,9
2842,14
2843,14
2844,16
2845,6
2846,15
2847,14
2848,8
2849,14
2850,6
2851,9
2852,11
2853,3
2854,4
2855,3
2856,8
2857,11
2858,16
2859,5
2860,11
2861,4
2862,4
2863,7
2864,5
2865,2
2866,5
2867,6
2868,12
2869,12
2870,4
2871,11
2872,16
2873,6
2874,7
2875,14
2876,10
2877,11
2878,13
2879,9
2880,11
2881,15
2882,7
2883,9
2884,12
2885,4
2886,1
2887,10
2888,6
2889,5
2890,5
2891,10
2892,13
2893,5
2894,11
2895,9
2896,15
2897,1
2898,10
2899,9
2900,12
2901,6
2902,5
2903,3
2904,6
2905,7
2906,11
2907,4
2908,13
2909,5
2910,9
2911,12
2912,4
2913,11
2914,5
2915,13
2916,9
2917,12
2918,16
2919,11
2920,13
2921,10
2922,13
2923,15
2924,3
2925,2
2926,16
2927,11
2928,13
2929,6
2930,12
2931,3
2932,15
2933,5
2934,4
2935,7
2936,12
2937,8
2938,12
2939,12
2940,4
2941,16
2942,11
2943,11
2944,4
2945,12
2946,3
2947,3
2948,16
2949,1
2950,14
2951,14
2952,11
2953,12
2954,13
2955,15
2956,14
2957,12
2958,15
2959,11
2960,8
2961,7
2962,14
2963,14
2964,15
2965,8
2966,11
2967,2
2968,12
2969,8
2970,8
2971,4
2972,12
2973,1
2974,11
2975,15
2976,15
2977,15
2978,1
2979,9
2980,5
2981,13
2982,2
2983,5
2984,6
2985,15
2986,16
2987,8
2988,1
2989,3
2990,14
2991,14
2992,8
2993,3
2994,2
2995,8
2996,14
2997,14
